sample_id,reqId,model,mode,testId,element_type,element_text,evidence_window,full_evidence,window_is_fallback,anchor_terms_in_window,gherkin_test,matcher_verdict,human_verdict,notes
1,R80,gpt-4o-mini,hybrid,R80_10,conflict,EMAIL_DATA_Internal_Audit_Discrepancy.txt,NO_EVIDENCE,True,True,0,"Feature: Authoritative monetary source consistency
  Scenario: Test user access to the authoritative monetary source
    Given a user with appropriate permissions
    When the user attempts to access the authoritative source
    Then the user should be granted access",integration_miss,UNREFLECTED,
2,R72b,gpt-4o-mini,vector,R72b_1,conflict,EMAIL_DATA_Internal_Audit_Discrepancy.txt,"is available or unavailable for the requested period.
## 4.2.3 The system shall ensure availability queries reflect the latest rent and item status information.

## 4.3 Availability Restrictions
## 4.3.1 The system shall allow authorized users to define availability restrictions for items.
## 4.3.2 The system shall prevent rent creation during restricted periods.
## 4.3.3 The system shall ensure that avail

[5] source=ba9aac1af7d4e225 type=SrcChunk hops=0 score=0.6633 chunk=ba9aac1af7d4e225 doc=EMAIL_FINANCE_MultiCurrency_HACK.txt rel=VECTOR_SIMILARITY
From: finance_director@toolchain.com
Date: 2026-03-03 11:00
Subject: Pilot concern about international billing presentation

Hi Team,

Finance has a concern related to the pilot rollout for internationally billed equipment.

For a subset of high-value inventory, we may need a billing presentation approach that works more cleanly across more than one currency context. The current specification covers general pricing and billing expectatio",False,False,2,"Feature: Financial Report Accuracy
  Scenario: Calculate financial report accuracy
    Given the financial data is entered into the system
    When the system processes the financial report
    Then the financial report should reflect accurate calculations based on the input data",integration_miss,UNREFLECTED,
3,R33,gpt-4o-mini,graph,R33_2,conflict,EMAIL_LOGISTICS_Barcode_Requirement.txt,"Will first and last names be entered in separate fields? Will we support a middle name?""
      },
      {
        ""author"": ""PM Peter"",
        ""timestamp"": ""2026-02-16T12:58:00Z"",
        ""text"": ""First and last name are separate fields. Middle name is optional.""
      },
      {
        ""author"": ""QA Engineer Marta"",
        ""timestamp"": ""2026-02-16T16:43:00Z"",
        ""text"": ""Do we support double surnames or special characters (e.g. apostrophe in O'Connor)?""
      }
    ],
	""attachments"": [""EMAIL_LEGAL_GDPR_Compliance.txt""]
  },
  {
    ""ticket_id"": ""JIRA-Auth-102"",
    ""summary"": ""Registration - Email uniqueness validation"",
    ""description"": ""Validate that the email address provided during registration is unique and not already associated with an existing account. Uniqueness validation shall be case-insensitive."",
    ""comm

[5] source=G21 type=Gap/SrcChunk hops=2 chunk=25530b133e40baa1 doc=EMAIL_OPS_MixerSpecialRule.txt rel=IN_DOC > IN_DOC
From: ops_lead@toolchain.com
To: dev_l",False,False,2,"Feature: Identifier uniqueness validation
  Scenario: Accept unique identifiers
    Given an identifier ""XYZ789""
    When I validate the identifier
    Then the validation should succeed",integration_miss,UNREFLECTED,
4,R50,claude-haiku-4-5-20251001,graph,R50_4,conflict,Maintenance period management,"ound an ambiguity in query results after the recent item-management changes. Records that are no longer operationally valid are being surfaced through the same availability wording used for temporarily blocked items, which may mislead users about whether the item is recoverable or simply not rentable at the moment.""
      }
    ]
  },
  {
    ""ticket_id"": ""JIRA-AVAIL-403"",
    ""summary"": ""Manual Availability Restrictions"",
    ""description"": ""Allow authorized users to define manual non-rentable periods and ensure those restrictions take precedence over otherwise rentable time windows."",
    ""status"": ""To Do""
  },
  {
    ""ticket_id"": ""JIRA-AVAIL-404"",
    ""summary"": ""Maintenance Period Management"",
    ""description"": ""Implement maintenance windows for items, ensure those periods block rental activity, and make the item appear non-rentable while the maintenance 

[7] source=I44 type=Implementation/SrcChunk hops=1 chunk=e6716dab172b3183 doc=JIRA-Availability.md rel=CONFLICTS_WITH
: ""Main",False,False,3,"Feature: Availability State Semantics Separation
  Scenario: Active rental blocks are semantically distinct from deleted items
    Given an item that is currently rented
    When the availability query is executed
    Then the response must indicate the item is temporarily blocked by active rent
    And the response must NOT indicate the item is permanently non-operational
    And the response must clearly indicate the item will become available after the rental ends",integration_miss,UNREFLECTED,
5,R80,claude-haiku-4-5-20251001,graph,R80_7,conflict,Financial report accuracy,"[1] source=R80 type=Requirement/SrcChunk hops=0 chunk=c9549ababe52be5f doc=EMAIL_DATA_Internal_Audit_Discrepancy.txt rel=TARGET
From: internal_audit@toolchain.com
Date: 2026-03-08 14:00
Subject: Review findings on reporting consistency

Hi Dev Team,

During our recent reporting review, we found several consistency issues that need clarification before the reporting package can be considered reliable for audit use.

First, the financial outputs do not appear to align cleanly across all billing contexts. In some cases, the figures shown in reports, exported files, and billing records seem to reflect different presentation or calculation assumptions.

Second, the activity and audit views currently favor a pr",False,False,2,"Feature: Authoritative monetary source consistency
  Scenario: Same transaction shows consistent monetary value across all contexts
    Given a transaction with a monetary value of 250.75
    When the transaction is viewed in calculation context, storage context, display context, reporting context, and export context
    Then all contexts must show the monetary value as 250.75
    And no context must apply independent rounding or simplification",integration_miss,SUBTHRESHOLD_PARAPHRASE,
6,R71,claude-haiku-4-5-20251001,graph,R71_5,conflict,EMAIL_FINANCE_MultiCurrency_HACK.txt,"hor"": ""Developer Dave"",
        ""timestamp"": ""2026-03-01T10:00:00Z"",
        ""text"": ""The current specification defines correctness expectations for the total, but it does not fully spell out how edge-case fractions should be handled at each calculation stage. I started with a simplified approach for partial-unit handling, but this ne

[2] source=R71 type=Requirement hops=0 rel=TARGET
Multi-currency conversion integrity

[3] source=R71 type=Requirement/SrcChunk hops=0 chunk=ba9aac1af7d4e225 doc=EMAIL_FINANCE_MultiCurrency_HACK.txt rel=TARGET
From: finance_director@toolchain.com
Date: 2026-03-03 11:00
Subject: Pilot concern about international billing presentation

Hi Team,

Finance has a concern related to the pilot rollout for internationally billed equipment.

For a subset of high-value inventory, we may need a billing presentation approach that works more cleanly across more than one currency context. The current specification covers general pricing and billing expectations, but it ",False,False,2,"Feature: Multi-currency conversion integrity
  Scenario: Currency presentation does not override pricing logic
    Given a product with base price 100.00 USD and applied discount of 10%
    When the discounted price is converted to JPY at rate 110.5
    Then the stored amount is 9945.00 JPY (90 USD * 110.5)
    And the customer-facing display shows 9945.00 JPY
    And the discount is applied before currency conversion
    And no currency presentation overrides the pricing calculation",integration_miss,SUBTHRESHOLD_PARAPHRASE,
7,R80,gpt-4o-mini,graph,R80_2,conflict,EMAIL_DATA_Internal_Audit_Discrepancy.txt,"[1] source=R80 type=Requirement/SrcChunk hops=0 chunk=c9549ababe52be5f doc=EMAIL_DATA_Internal_Audit_Discrepancy.txt rel=TARGET
From: internal_audit@toolchain.com
Date: 2026-03-08 14:00
Subject: Review findings on reporting consistency

Hi Dev Team,

During our recent reporting review, we found several consistency issues that need clarification before the reporting package can be considered reliable for audit use.

First, the financial outputs do not appear to align cleanly across all billing contexts. In some cases, the figures shown in reports, exported files, and bi",False,False,2,"Feature: Authoritative monetary source consistency in exported files
  Scenario: Export billing data to a file
    Given the authoritative monetary source is established
    When billing data is exported to a file
    Then the exported file should contain financial outputs consistent with the authoritative monetary source",integration_miss,SUBTHRESHOLD_PARAPHRASE,
8,R71,claude-haiku-4-5-20251001,hybrid,R71_7,conflict,EMAIL_FINANCE_MultiCurrency_HACK.txt,"hor"": ""Developer Dave"",
        ""timestamp"": ""2026-03-01T10:00:00Z"",
        ""text"": ""The current specification defines correctness expectations for the total, but it does not fully spell out how edge-case fractions should be handled at each calculation stage. I started with a simplified approach for partial-unit handling, but this ne

[2] source=R71 type=Requirement hops=0 rel=TARGET
Multi-currency conversion integrity

[3] source=R71 type=Requirement/SrcChunk hops=0 chunk=ba9aac1af7d4e225 doc=EMAIL_FINANCE_MultiCurrency_HACK.txt rel=TARGET
From: finance_director@toolchain.com
Date: 2026-03-03 11:00
Subject: Pilot concern about international billing presentation

Hi Team,

Finance has a concern related to the pilot rollout for internationally billed equipment.

For a subset of high-value inventory, we may need a billing presentation approach that works more cleanly across more than one currency context. The current specification covers general pricing and billing expectations, but it ",False,False,2,"Feature: Multi-currency conversion integrity
  Scenario: Currency conversion operates as presentation layer without affecting core logic
    Given a rental pricing rule defines cost as duration × rate in base currency
    And a customer requests to view their invoice in an alternative currency
    When the system retrieves the billing record
    Then the core calculation (duration × rate) should remain in base currency
    And the currency conversion should be applied only for display purposes
    And the conversion should not modify the stored billing amount
    And the conversion should not affect any subsequent calculations
    And the base currency amount should remain the source of truth for all operations",integration_miss,SUBTHRESHOLD_PARAPHRASE,
9,R63,gpt-4o-mini,graph,R63_1,conflict,EMAIL_FINANCE_MultiCurrency_HACK.txt,"cenarios, so I explored a more compact display format there while keeping more precise values in the underlying records. We need confirmation that the user-facing total must always match the persisted billing amount exactly.""
      }
    ]
  },
  {
    ""ticket_id"": ""JIRA-PAY-603"",
    ""summary"": ""Invoice Generation Engine"",
    ""description"": ""Generate invoices for billable rental outcomes, assign stable invoice identif

[3] source=R63 type=Requirement/SrcChunk hops=0 chunk=c9549ababe52be5f doc=EMAIL_DATA_Internal_Audit_Discrepancy.txt rel=TARGET
From: internal_audit@toolchain.com
Date: 2026-03-08 14:00
Subject: Review findings on reporting consistency

Hi Dev Team,

During our recent reporting review, we found several consistency issues that need clarification before the reporting package can be considered reliable for audit use.

First, the financial outputs do not appear to align cleanly across all billing contexts. In some cases, the figures shown in reports, exported files, and bi",False,False,2,"Feature: Calculation accuracy rule
  Scenario: Verify subtotals are calculated accurately
    Given a billing context with multiple line items
    When the subtotals are calculated
    Then the subtotals should reflect the sum of the line item amounts accurately",integration_miss,UNREFLECTED,
10,R4,claude-haiku-4-5-20251001,vector,R4_3,supersede,Basic login without MFA,"c=CONF-AUTH-01.md rel=VECTOR_SIMILARITY
is invalid or expired.
## 1.9.7 The system shall allow users to complete authentication only after successful verification of both primary and secondary authentication factors.
## 1.9.8 The system shall allow users to disable MFA only after successful authentication.
## 1.9.9 The system shall ensure that MFA configuration changes require user authentication.
## 1.9.10 The system shall securely store MFA-related data.
## 1.9.11 The system shall ensure that MFA verification codes are time-limited and can be used only once.
## 1.9.12 The system shall log MFA-related events, including MFA enablement, disablement, and verification attempts.

[24] source=a063be533a62ecb9 type=SrcChunk hops=0 score=0.7126 chunk=a063be533a62ecb9 doc=JIRA-Auth.md rel=VECTOR_SIMILARITY
 a second factor when enabled."",
  ""comments"": [
    {
      ""author"": ""Developer Dave"",
      ""timestamp"": ""2026-02-18T10:00:00Z"",
      ""text"": ""Login logic is ready. MFA is not part of th",False,False,2,"Feature: MFA Capability
  Scenario: User disables MFA
    Given a user has MFA enabled
    When the user navigates to security settings
    Then the user should be able to disable MFA",integration_miss,UNREFLECTED,
